Sale_ID,Month,Region,Product,Units_Sold,Unit_Price,Unit_Cost,Revenue,Profit,Profit_Margin_%
92,May,Sharjah,Cloud Storage,22,775.48,414.91,17060.5,7932.48,46.5
93,Apr,Abu Dhabi,Cloud Storage,25,1449.11,835.56,36227.74,15338.65,42.3
94,Jul,Dubai,CRM Platform,22,1176.7,592.99,25887.4,12841.61,49.6
95,Jul,Abu Dhabi,CRM Platform,50,1251.34,718.12,62567.15,26661.07,42.6
96,Aug,Riyadh,CRM Platform,1,1896.93,900.39,1896.93,996.55,52.5
97,Sep,Ajman,CRM Platform,48,1522.34,913.35,73072.38,29231.36,40.0
98,Apr,Abu Dhabi,CRM Platform,18,984.5,400.95,17721.09,10504.06,59.3
99,Dec,Sharjah,CRM Platform,11,1712.91,1078.94,18842.01,6973.7,37.0
100,Jan,Riyadh,Security Package,26,1265.41,715.9,32900.58,14287.08,43.4
101,Mar,Dubai,CRM Platform,30,527.11,245.13,15813.37,8459.53,53.5
102,Aug,Sharjah,Cloud Storage,21,807.5,500.58,16957.52,6445.38,38.0
103,May,Sharjah,CRM Platform,6,1046.55,614.59,6279.31,2591.75,41.3
104,Apr,Dubai,Analytics Suite,42,323.51,206.83,13587.55,4900.74,36.1
105,Apr,Dubai,Enterprise Software,13,1710.61,949.96,22237.96,9888.46,44.5
106,Aug,Abu Dhabi,Cloud Storage,43,405.9,258.53,17453.74,6336.77,36.3
107,Jun,Ajman,Analytics Suite,11,1290.61,827.19,14196.68,5097.55,35.9
108,May,Dubai,Cloud Storage,7,1241.63,784.99,8691.43,3196.52,36.8
109,Jul,Riyadh,CRM Platform,46,556.99,305.25,25621.71,11580.38,45.2
110,Dec,Abu Dhabi,Enterprise Software,50,742.85,424.21,37142.44,15931.7,42.9
111,Jan,Dubai,Security Package,23,1158.94,655.24,26655.65,11585.07,43.5
112,Nov,Dubai,Security Package,22,222.77,112.5,4901.03,2425.94,49.5
113,Jul,Ajman,Enterprise Software,24,1344.05,816.08,32257.28,12671.41,39.3
114,Mar,Abu Dhabi,CRM Platform,47,1139.14,640.9,53539.77,23417.53,43.7
115,Aug,Riyadh,Security Package,30,984.03,573.45,29521.02,12317.45,41.7
116,Apr,Sharjah,Analytics Suite,6,702.07,359.95,4212.43,2052.71,48.7
117,Oct,Ajman,Security Package,43,882.18,359.2,37933.77,22488.09,59.3
118,Aug,Sharjah,Cloud Storage,14,838.68,389.64,11741.59,6286.59,53.5
119,Dec,Sharjah,Security Package,18,1200.42,635.21,21607.63,10173.81,47.1
120,Apr,Abu Dhabi,Enterprise Software,47,931.57,501.92,43783.82,20193.36,46.1
121,Nov,Abu Dhabi,CRM Platform,46,1083.48,648.17,49840.01,20024.06,40.2
122,Apr,Dubai,Analytics Suite,26,1445.22,688.72,37575.64,19668.91,52.3
123,Aug,Riyadh,Analytics Suite,36,1155.66,585.2,41603.74,20536.61,49.4
124,Jun,Riyadh,Analytics Suite,45,1016.74,484.64,45753.37,23944.76,52.3
125,Dec,Abu Dhabi,Enterprise Software,13,767.99,449.83,9983.82,4136.1,41.4
126,Apr,Abu Dhabi,Cloud Storage,48,1071.56,622.73,51434.76,21543.64,41.9
127,May,Riyadh,Security Package,7,1698.73,805.3,11891.12,6254.0,52.6
128,May,Sharjah,Cloud Storage,1,1474.43,636.43,1474.43,838.0,56.8
129,Sep,Dubai,Enterprise Software,19,1455.35,628.09,27651.67,15718.05,56.8
130,Jan,Ajman,Enterprise Software,37,711.81,369.91,26337.0,12650.23,48.0
131,Jan,Sharjah,Cloud Storage,17,1893.91,983.76,32196.55,15472.62,48.1
132,Aug,Dubai,CRM Platform,5,1238.64,708.02,6193.19,2653.08,42.8
133,Oct,Abu Dhabi,Cloud Storage,20,353.33,163.25,7066.51,3801.45,53.8
134,Oct,Riyadh,CRM Platform,39,1623.33,740.92,63310.01,34413.94,54.4
135,Aug,Riyadh,CRM Platform,29,735.24,402.27,21321.83,9655.99,45.3
136,Oct,Ajman,Analytics Suite,40,308.41,197.39,12336.58,4440.83,36.0
137,Nov,Dubai,Cloud Storage,14,676.36,284.27,9469.08,5489.26,58.0
138,Sep,Abu Dhabi,Cloud Storage,5,481.76,241.91,2408.79,1199.27,49.8
139,May,Riyadh,CRM Platform,3,616.66,355.65,1849.97,783.02,42.3
140,Nov,Ajman,Enterprise Software,15,1863.04,1112.15,27945.6,11263.28,40.3
141,Jul,Riyadh,Cloud Storage,8,1180.21,663.17,9441.7,4136.33,43.8
142,Feb,Sharjah,Cloud Storage,4,498.66,237.81,1994.64,1043.39,52.3
143,Aug,Riyadh,Analytics Suite,8,1043.66,496.8,8349.25,4374.82,52.4
144,Sep,Ajman,Analytics Suite,35,1088.83,457.43,38109.1,22099.07,58.0
145,Dec,Dubai,CRM Platform,21,1286.68,522.99,27020.38,16037.51,59.4
146,Oct,Abu Dhabi,Security Package,2,1999.23,1135.7,3998.46,1727.05,43.2
147,Jan,Sharjah,Security Package,49,1561.28,808.16,76502.91,36903.08,48.2
148,Mar,Ajman,Analytics Suite,38,984.59,594.26,37414.53,14832.57,39.6
149,Jun,Dubai,CRM Platform,27,799.96,454.0,21598.79,9340.75,43.2
150,Jul,Abu Dhabi,Analytics Suite,45,1091.84,617.6,49132.99,21341.12,43.4
151,Jan,Ajman,Security Package,30,358.51,166.02,10755.23,5774.49,53.7
152,Sep,Dubai,CRM Platform,1,1383.79,741.22,1383.79,642.56,46.4
153,Apr,Ajman,Enterprise Software,34,851.2,501.45,28940.9,11891.5,41.1
154,Apr,Ajman,Enterprise Software,18,1188.6,751.1,21394.72,7875.01,36.8
155,Feb,Ajman,CRM Platform,2,1951.66,1077.74,3903.33,1747.84,44.8
156,May,Abu Dhabi,Cloud Storage,36,224.61,112.76,8086.11,4026.9,49.8
157,Aug,Abu Dhabi,Enterprise Software,8,1365.88,598.93,10927.02,6135.6,56.2
158,Dec,Sharjah,Security Package,18,947.88,493.49,17061.89,8179.04,47.9
159,Aug,Ajman,Cloud Storage,36,460.36,206.08,16572.8,9153.94,55.2
160,Dec,Riyadh,Security Package,9,1755.25,823.32,15797.24,8387.36,53.1
161,Sep,Ajman,Analytics Suite,18,1676.99,789.38,30185.8,15977.05,52.9
162,Oct,Sharjah,Security Package,43,1081.35,472.71,46498.16,26171.54,56.3
163,Jun,Riyadh,CRM Platform,22,1193.45,639.52,26255.93,12186.49,46.4
164,Apr,Ajman,Analytics Suite,45,629.85,312.24,28343.25,14292.29,50.4
165,Jun,Ajman,Enterprise Software,48,1051.36,660.63,50465.15,18754.99,37.2
166,Nov,Ajman,CRM Platform,42,1965.47,1029.58,82549.85,39307.58,47.6
167,Sep,Dubai,Cloud Storage,38,797.59,339.05,30308.44,17424.59,57.5
168,Sep,Ajman,Enterprise Software,30,227.63,99.25,6828.77,3851.16,56.4
169,Aug,Abu Dhabi,Enterprise Software,17,809.41,463.93,13759.97,5873.08,42.7
170,Nov,Dubai,Analytics Suite,35,884.02,423.59,30940.59,16114.93,52.1
171,Jan,Ajman,Security Package,40,323.16,180.25,12926.29,5716.13,44.2
172,Dec,Sharjah,Cloud Storage,6,981.15,416.61,5886.89,3387.25,57.5
173,Mar,Dubai,CRM Platform,45,739.04,300.96,33256.75,19713.38,59.3
174,May,Sharjah,Enterprise Software,23,874.71,381.72,20118.42,11338.89,56.4
175,Oct,Riyadh,CRM Platform,44,1626.54,719.74,71567.54,39899.2,55.8
176,Jul,Dubai,Security Package,40,1429.64,749.73,57185.69,27196.55,47.6
177,Apr,Riyadh,Cloud Storage,30,1348.23,694.19,40446.85,19621.07,48.5
178,May,Dubai,CRM Platform,44,1183.88,495.41,52090.57,30292.47,58.2
179,May,Sharjah,Security Package,41,1931.65,1106.02,79197.75,33850.83,42.7
180,Apr,Ajman,Analytics Suite,25,1736.0,740.69,43400.1,24882.87,57.3
181,Jun,Ajman,Security Package,37,732.57,421.1,27105.1,11524.55,42.5
182,May,Dubai,CRM Platform,1,1218.67,696.41,1218.67,522.26,42.9
183,Dec,Dubai,Security Package,32,1699.11,1063.19,54371.52,20349.43,37.4
184,Jun,Abu Dhabi,Security Package,15,1345.91,747.28,20188.68,8979.47,44.5
185,Nov,Abu Dhabi,Enterprise Software,42,270.96,161.8,11380.35,4584.54,40.3
186,Jun,Dubai,Security Package,47,436.54,273.89,20517.44,7644.66,37.3
187,Mar,Sharjah,CRM Platform,13,437.89,234.21,5692.54,2647.87,46.5
188,Sep,Sharjah,Security Package,18,1694.85,786.82,30507.31,16344.52,53.6
189,Dec,Ajman,Analytics Suite,22,1647.62,851.96,36247.61,17504.59,48.3
190,Apr,Dubai,Cloud Storage,44,1503.59,969.79,66157.96,23487.03,35.5
191,Feb,Riyadh,Analytics Suite,26,225.05,120.21,5851.39,2725.91,46.6
192,Nov,Ajman,Analytics Suite,48,1410.21,770.17,67690.24,30721.89,45.4
193,Nov,Sharjah,Enterprise Software,15,1048.66,581.89,15729.88,7001.58,44.5
194,Oct,Riyadh,Analytics Suite,15,1365.77,763.26,20486.61,9037.65,44.1
195,Nov,Ajman,Analytics Suite,27,410.02,168.65,11070.45,6516.77,58.9
196,Aug,Dubai,Analytics Suite,8,374.95,233.15,2999.56,1134.39,37.8
197,Aug,Abu Dhabi,CRM Platform,24,1406.88,824.13,33765.0,13985.97,41.4
198,Oct,Riyadh,CRM Platform,48,1507.88,936.93,72378.17,27405.74,37.9
199,Oct,Dubai,CRM Platform,27,1890.3,888.32,51037.98,27053.44,53.0
200,Aug,Sharjah,Cloud Storage,29,1911.0,1173.09,55418.98,21399.34,38.6
201,Sep,Dubai,Analytics Suite,42,845.61,422.41,35515.74,17774.39,50.0
202,Aug,Abu Dhabi,Enterprise Software,6,1392.98,780.66,8357.9,3673.92,44.0
203,Jan,Riyadh,Enterprise Software,22,638.42,275.47,14045.33,7985.04,56.9
204,Feb,Riyadh,Cloud Storage,49,1197.57,654.59,58681.13,26606.27,45.3
205,Mar,Abu Dhabi,Analytics Suite,39,205.1,126.06,7999.06,3082.82,38.5
206,Sep,Abu Dhabi,Cloud Storage,17,1637.32,699.93,27834.52,15935.78,57.3
207,Jan,Dubai,Cloud Storage,23,1621.97,745.27,37305.37,20164.19,54.1
208,Mar,Sharjah,Enterprise Software,17,294.32,172.3,5003.41,2074.27,41.5
209,Dec,Riyadh,Enterprise Software,5,1057.24,628.54,5286.21,2143.54,40.5
210,Feb,Riyadh,Security Package,29,1106.91,704.39,32100.38,11673.18,36.4
211,May,Dubai,Security Package,30,1358.01,553.78,40740.4,24126.97,59.2
212,Jul,Ajman,CRM Platform,44,394.33,227.96,17350.58,7320.2,42.2
213,Feb,Ajman,Enterprise Software,21,1294.94,539.24,27193.64,15869.65,58.4
214,Nov,Sharjah,Security Package,38,1187.04,571.32,45107.58,23397.47,51.9
215,May,Riyadh,Security Package,30,1109.99,563.38,33299.76,16398.47,49.2
216,Dec,Dubai,Security Package,14,974.13,605.93,13637.76,5154.76,37.8
217,Aug,Ajman,Analytics Suite,26,948.78,402.07,24668.32,14214.59,57.6
218,Nov,Ajman,Analytics Suite,17,873.74,382.84,14853.61,8345.36,56.2
219,Feb,Ajman,Enterprise Software,6,367.81,156.01,2206.89,1270.85,57.6
220,Sep,Sharjah,Cloud Storage,4,1255.64,678.54,5022.55,2308.38,46.0
221,Jul,Sharjah,Enterprise Software,23,1772.49,1126.03,40767.35,14868.57,36.5
222,May,Ajman,Enterprise Software,39,762.41,324.71,29733.91,17070.24,57.4
223,Mar,Riyadh,Cloud Storage,43,1067.94,653.39,45921.46,17825.85,38.8
224,Jun,Sharjah,Security Package,8,1572.69,854.8,12581.52,5743.15,45.6
225,Oct,Ajman,Security Package,40,1414.96,762.92,56598.32,26081.36,46.1
226,Jan,Riyadh,Analytics Suite,12,691.89,408.63,8302.64,3399.08,40.9
227,Jan,Sharjah,Analytics Suite,12,1765.75,956.3,21189.03,9713.47,45.8
228,Mar,Ajman,Enterprise Software,48,1339.71,546.15,64306.06,38090.78,59.2
229,Jul,Riyadh,Cloud Storage,27,1016.56,446.63,27447.19,15388.2,56.1
230,Oct,Sharjah,Analytics Suite,39,352.92,145.81,13763.98,8077.36,58.7
231,Jan,Abu Dhabi,Security Package,44,346.85,177.16,15261.26,7466.14,48.9
232,Oct,Ajman,CRM Platform,29,945.53,429.17,27420.39,14974.49,54.6
233,Jun,Riyadh,Enterprise Software,28,399.6,227.59,11188.84,4816.19,43.0
234,Sep,Riyadh,CRM Platform,43,755.15,343.69,32471.66,17692.85,54.5
235,Jan,Riyadh,Enterprise Software,14,742.55,336.24,10395.77,5688.48,54.7
236,May,Abu Dhabi,Analytics Suite,21,415.97,218.11,8735.41,4155.03,47.6
237,Mar,Ajman,Cloud Storage,25,1158.65,530.11,28966.21,15713.36,54.2
238,Feb,Riyadh,Analytics Suite,26,1751.18,718.99,45530.57,26836.83,58.9
239,Feb,Dubai,CRM Platform,21,1236.37,671.78,25963.7,11856.32,45.7
240,Feb,Ajman,Analytics Suite,26,237.54,114.3,6176.09,3204.2,51.9
241,Dec,Riyadh,CRM Platform,24,358.63,219.17,8607.21,3347.16,38.9
242,Oct,Abu Dhabi,CRM Platform,26,1143.13,570.36,29721.45,14892.18,50.1
243,Apr,Sharjah,Analytics Suite,22,1602.41,671.56,35253.07,20478.69,58.1
244,Sep,Dubai,Security Package,13,1830.66,892.16,23798.59,12200.5,51.3
245,Feb,Abu Dhabi,Cloud Storage,10,660.74,292.96,6607.43,3677.86,55.7
246,Mar,Abu Dhabi,Enterprise Software,50,1330.31,686.42,66515.39,32194.23,48.4
247,Aug,Riyadh,Security Package,44,1863.48,1008.37,81993.02,37624.71,45.9
248,Nov,Riyadh,Analytics Suite,21,471.72,196.74,9906.19,5774.6,58.3
249,May,Ajman,Analytics Suite,38,301.11,158.63,11442.17,5414.04,47.3
250,Aug,Sharjah,CRM Platform,3,302.4,183.84,907.21,355.69,39.2
251,Oct,Dubai,Enterprise Software,39,1112.72,573.81,43396.16,21017.72,48.4
252,Aug,Riyadh,Enterprise Software,37,1373.31,659.71,50812.37,26403.04,52.0
253,Mar,Ajman,Security Package,4,1010.94,609.34,4043.77,1606.42,39.7
254,Sep,Sharjah,Enterprise Software,42,510.61,235.87,21445.45,11539.03,53.8
255,Sep,Ajman,CRM Platform,34,1297.65,637.11,44120.09,22458.25,50.9
256,Jul,Sharjah,CRM Platform,50,809.06,444.56,40453.04,18225.25,45.1
257,Jun,Sharjah,Enterprise Software,7,1204.33,598.12,8430.34,4243.49,50.3
258,Mar,Sharjah,Security Package,22,346.7,196.2,7627.48,3311.07,43.4
259,Nov,Sharjah,Analytics Suite,45,1391.84,601.61,62632.95,35560.61,56.8
260,Sep,Dubai,Analytics Suite,25,1358.29,654.86,33957.2,17585.78,51.8
261,Feb,Abu Dhabi,Security Package,42,1406.82,741.57,59086.48,27940.69,47.3
262,May,Dubai,Analytics Suite,12,1912.1,928.2,22945.26,11806.87,51.5
263,Apr,Ajman,Cloud Storage,9,478.9,226.97,4310.11,2267.34,52.6
264,Sep,Dubai,Security Package,48,1790.63,733.15,85950.14,50758.98,59.1
265,Mar,Sharjah,Security Package,39,878.1,386.86,34245.73,19158.37,55.9
266,Dec,Riyadh,Cloud Storage,29,278.65,136.84,8080.74,4112.49,50.9
267,Oct,Abu Dhabi,CRM Platform,19,1554.3,926.29,29531.78,11932.31,40.4
268,Apr,Abu Dhabi,Security Package,20,1938.07,1155.27,38761.48,15656.05,40.4
269,Nov,Abu Dhabi,Analytics Suite,37,1971.99,1016.4,72963.69,35356.75,48.5
270,Sep,Sharjah,CRM Platform,34,953.59,420.07,32422.04,18139.66,55.9
271,Mar,Abu Dhabi,Security Package,17,293.92,152.88,4996.7,2397.68,48.0
272,Feb,Sharjah,Security Package,46,1722.61,1055.6,79239.88,30682.35,38.7
273,Mar,Sharjah,Enterprise Software,18,1008.77,532.97,18157.94,8564.41,47.2
274,Apr,Ajman,Enterprise Software,29,1792.33,1133.86,51977.67,19095.66,36.7
275,Jul,Ajman,Enterprise Software,33,873.13,433.55,28813.31,14506.31,50.3
276,Apr,Dubai,Analytics Suite,2,773.63,328.62,1547.27,890.03,57.5
277,Mar,Sharjah,Cloud Storage,3,716.38,435.16,2149.15,843.67,39.3
278,Aug,Abu Dhabi,CRM Platform,40,209.45,87.93,8378.09,4860.91,58.0
279,Mar,Sharjah,Cloud Storage,36,1892.41,1045.02,68126.64,30505.75,44.8
280,May,Ajman,Enterprise Software,16,742.07,305.69,11873.15,6982.16,58.8
281,Aug,Ajman,Security Package,5,399.54,250.23,1997.72,746.57,37.4
282,Jan,Riyadh,Security Package,41,1127.68,519.28,46234.73,24944.35,54.0
283,Jul,Abu Dhabi,Analytics Suite,1,1306.66,601.25,1306.66,705.41,54.0
284,Nov,Ajman,Cloud Storage,43,354.11,227.92,15226.52,5425.76,35.6
285,Sep,Dubai,Security Package,33,1615.54,851.24,53312.89,25222.03,47.3
286,Aug,Dubai,CRM Platform,3,1344.21,867.36,4032.62,1430.53,35.5
287,Jun,Sharjah,Enterprise Software,5,820.64,478.63,4103.22,1710.08,41.7
288,Dec,Dubai,Security Package,49,798.53,328.26,39128.14,23043.19,58.9
289,Nov,Riyadh,Analytics Suite,12,1694.69,967.96,20336.29,8720.8,42.9
290,Mar,Ajman,Cloud Storage,5,1488.88,946.78,7444.41,2710.5,36.4
291,Apr,Dubai,Analytics Suite,3,1624.0,1009.23,4871.99,1844.3,37.9
292,Sep,Sharjah,Analytics Suite,26,1980.42,1061.03,51490.94,23904.27,46.4
293,Nov,Sharjah,Enterprise Software,13,715.0,440.11,9294.99,3573.6,38.4
294,May,Dubai,Analytics Suite,8,1638.82,834.55,13110.53,6434.15,49.1
295,Jul,Ajman,CRM Platform,22,1952.7,1023.32,42959.45,20446.52,47.6
296,Sep,Ajman,Analytics Suite,18,1642.07,955.31,29557.2,12361.7,41.8
297,Oct,Dubai,CRM Platform,12,1181.85,567.65,14182.25,7370.47,52.0
298,Nov,Dubai,Analytics Suite,19,751.69,413.92,14282.16,6417.61,44.9
299,Dec,Ajman,Cloud Storage,29,832.78,341.93,24150.75,14234.72,58.9
300,Jul,Sharjah,Security Package,18,1351.04,807.75,24318.81,9779.33,40.2
301,Nov,Dubai,Enterprise Software,41,931.18,491.92,38178.32,18009.8,47.2
302,Mar,Abu Dhabi,Enterprise Software,39,1420.56,723.84,55401.84,27172.21,49.0
303,Apr,Abu Dhabi,Enterprise Software,50,1361.29,667.77,68064.66,34676.38,50.9
304,Oct,Riyadh,Enterprise Software,10,1422.31,906.31,14223.12,5160.06,36.3
305,Feb,Sharjah,CRM Platform,37,447.85,220.23,16570.49,8422.16,50.8
306,Apr,Sharjah,Analytics Suite,8,246.64,110.13,1973.15,1092.12,55.3
307,Sep,Riyadh,CRM Platform,8,671.2,312.16,5369.58,2872.34,53.5
308,Oct,Ajman,Cloud Storage,19,1449.17,941.46,27534.14,9646.39,35.0
309,Mar,Abu Dhabi,Enterprise Software,5,1013.68,633.21,5068.38,1902.32,37.5
310,Nov,Ajman,Enterprise Software,21,1402.11,809.56,29444.34,12443.62,42.3
311,May,Riyadh,Security Package,20,1732.45,1001.27,34649.03,14623.55,42.2
312,Sep,Abu Dhabi,Analytics Suite,15,418.45,188.41,6276.79,3450.69,55.0
313,Aug,Abu Dhabi,Cloud Storage,2,849.61,461.4,1699.23,776.43,45.7
314,Mar,Ajman,Security Package,40,1791.64,746.11,71665.74,41821.47,58.4
315,Sep,Ajman,CRM Platform,27,1584.5,959.94,42781.4,16862.94,39.4
316,Jun,Dubai,Cloud Storage,42,333.5,172.24,14006.88,6772.91,48.4
317,Mar,Riyadh,Analytics Suite,50,1192.35,652.15,59617.31,27009.83,45.3
